sourceFile,package,className,symbolType,publicSymbol,responsibility,configurationProperty,springBean,autoConfigured,commonOverlap,knownConsumer,testFile,status,notes
NucleusJsonErrorHandler.kt,nucleus.error,NucleusJsonErrorHandler,@RestControllerAdvice,handleDecodingError/handleValidationError,Handler erreurs désérialisation JSON/validation,,,false,Yes (Common GlobalExceptionHandler overlaps),,MISSING_TEST,PUBLIC_STABLE,
NucleusJsonErrorHandler.kt,nucleus.error,ErrorResponse,data class,code/message/details,Réponse d'erreur JSON,,,false,Yes (Common ApiErrorResponse/ErrorPayload),,MISSING_TEST,INTERNAL,Overlap avec Common
MultiPlannerSignatureFilter.kt,nucleus.filter,MultiPlannerSignatureFilter,@Component WebFilter,filter(),Injecte headers X-Multiplanner-* dans réponse,,,true (via @Component),No,,MISSING_TEST,PUBLIC_STABLE,
MultiPlannerSignatureLogger.kt,nucleus.logging,MultiPlannerSignatureLogger,@Component,onApplicationStart(),Log les signatures MultiPlanner au démarrage,,,true (via @Component),No,,MISSING_TEST,PUBLIC_STABLE,
ConsentGuard.kt,nucleus.nucleus7,ConsentGuard,WebFilter,filter(),Bloque écritures sans consent explicite (X-Consent-Version),nucleus7.consent.*,@Bean Nucleus7Config,true,No,,MISSING_TEST,PUBLIC_STABLE,
ConsentGuardWebFilter.kt,nucleus.nucleus7,ConsentGuardWebFilter,@Component WebFilter,filter(),Consent guard alternatif pour /api/users/register/,multiplanner.consent.required-version,@Component,true,Yes (Common has no consent),,MISSING_TEST,DEPRECATED,Doublon avec ConsentGuard — hardcoded path
ConsentProperties.kt,nucleus.nucleus7,ConsentProperties,@ConfigurationProperties,enabled/headerName/requiredOnWrite/whitelistPaths,Configuration consent,nucleus7.consent,,true,No,,MISSING_TEST,PUBLIC_STABLE,
ConsentVersionValidator.kt,nucleus.nucleus7,ConsentVersionValidator,interface,isAccepted(version),Interface validation version consent,,,false,No,,MISSING_TEST,PUBLIC_STABLE,SPI
StaticConsentVersionValidator.kt,nucleus.nucleus7,StaticConsentVersionValidator,@Component,isAccepted(version),Validation statique de consent,multiplanner.consent.required-version,@Component,true,No,,MISSING_TEST,PUBLIC_STABLE,Requires mandatory property
JsonSchemaValidationFilter.kt,nucleus.nucleus7,JsonSchemaValidationFilter,WebFilter,filter(),Stub validation schéma JSON (TODO),,@Bean Nucleus7Config,true,No,,MISSING_TEST,PUBLIC_EXPERIMENTAL,Non implémenté — stub
LatencyBudgetFilter.kt,nucleus.nucleus7,LatencyBudgetFilter,WebFilter,filter(),Mesure latence et marque dépassements de budget,nucleus7.latency.*,@Bean Nucleus7Config,true,No,,MISSING_TEST,PUBLIC_STABLE,
LatencyProps.kt,nucleus.nucleus7,LatencyProps,@ConfigurationProperties,enabled/budgetMs/hardBlock,Configuration latency budget,nucleus7.latency,,true,No,,MISSING_TEST,PUBLIC_STABLE,
Nucleus7Config.kt,nucleus.nucleus7,Nucleus7Config,@Configuration,consentGuard/safetyShield/latencyBudgetFilter/jsonSchemaValidationFilter,Auto-config nucleus7 guards,,@Configuration,true,No,,MISSING_TEST,PUBLIC_STABLE,
Principle.kt,nucleus.nucleus7,Principle,enum,LIFE/LOVE/INTELLECT/EMOTION/ACTION/IMAGINATION/PROTECTION,7 principes Nucleus7,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
PrincipleNote.kt,nucleus.nucleus7,PrincipleNote,annotation,@PrincipleNote(message),Note descriptive de principe,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
PrincipleRegistry.kt,nucleus.nucleus7,PrincipleRegistry,@Component,rebuild()/get()/info(),Registre des endpoints par principe avec métriques,,@Component,true,No,,MISSING_TEST,PUBLIC_STABLE,
PrincipleResolver.kt,nucleus.nucleus7,PrincipleResolver,object,resolve(exchange),Résout les principes depuis l'handler method,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
Principles.kt,nucleus.nucleus7,Principles,annotation,@Principles(Principle.*),Associe des principes à une classe/méthode,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
SafetyProps.kt,nucleus.nucleus7,SafetyProps,@ConfigurationProperties,enabled/minScore/enforcePaths,Configuration safety shield,nucleus7.safety,,true,No,,MISSING_TEST,PUBLIC_STABLE,
SafetyShield.kt,nucleus.nucleus7,SafetyShield,WebFilter,filter(),Bloque requêtes si safety score < seuil,nucleus7.safety.*,@Bean Nucleus7Config,true,No,,MISSING_TEST,PUBLIC_STABLE,
StaticConsentVersionValidator.kt,nucleus.nucleus7,StaticConsentVersionValidator,@Component,isAccepted(),Validateur consent statique,multiplanner.consent.required-version,@Component,true,No,,MISSING_TEST,PUBLIC_STABLE,Requires mandatory property — no default
NucleusErrorMapper.kt,nucleus.spi,NucleusErrorMapper,interface,mapError(ex path),SPI — convertit exceptions en Problem,,,false,Yes (Common has error mapping),,MISSING_TEST,PUBLIC_STABLE,SPI
NucleusObservationContributor.kt,nucleus.spi,NucleusObservationContributor,interface,contribute(context path method queryParams),SPI — enrichit tags d'observabilité,,,false,No,,MISSING_TEST,PUBLIC_STABLE,SPI
NucleusOperationResolver.kt,nucleus.spi,NucleusOperationResolver,interface,resolve(path method),SPI — résout code d'opération,,,false,No,,MISSING_TEST,PUBLIC_STABLE,SPI
NucleusProperties.kt,nucleus.observability,NucleusProperties,@ConfigurationProperties,enabled/applicationCode/logLevel/latencyBudgetMs/defaultSafetyScoreThreshold/tracingEnabled/metricsEnabled/observability/guard,Configuration Nucleus observability,nucleus.*,,true,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusProperties.kt,nucleus.observability,ObservabilityProperties,data class,enabled/captureRequestBody/captureResponseBody/correlationHeader/sessionHeader,Sous-config observability,nucleus.observability.*,,true,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusProperties.kt,nucleus.observability,GuardProperties,data class,consentCheckEnabled/safetyCheckEnabled/safetyScoreThreshold/latencyBudgetMs/metricsEnabled,Sous-config guards,nucleus.guard.*,,true,No,,MISSING_TEST,PUBLIC_STABLE,
MultiplannerOperation.kt,nucleus.observability.autoconfigure,MultiplannerOperation,enum,~150+ opérations + metricName/spanName/otelName,Catalogue des opérations métier observables,,,false,No,,MISSING_TEST,PUBLIC_STABLE,741 lignes
NucleusObservabilityAutoConfiguration.kt,nucleus.observability.autoconfigure,NucleusObservabilityAutoConfiguration,@Configuration,nucleusWebFilter/nucleusOpAspect/nucleusOpsInfoContributor/quotaMetricsService,Auto-config Spring Boot observability,nucleus.enabled,,true,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusOpAspectProFixedV2.kt,nucleus.observability.autoconfigure,NucleusOpAspectProFixedV2,@Aspect @Component,around(),Aspect AOP pour instrumentation Mono/Flux,,@Bean AutoConfig,true,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusOpAspectProFixedV2.kt,nucleus.observability.autoconfigure,observedProV2,ext fun,Mono.observedProV2/Flux.observedProV2,Extensions Reactor pour observation Micrometer,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusOpsInfoContributor.kt,nucleus.observability.autoconfigure,NucleusOpsInfoContributor,@Component,contribute(),Expose catalogue opérations via /actuator/info,,@Bean AutoConfig,true,No,,MISSING_TEST,PUBLIC_STABLE,
QuotaMetricsService.kt,nucleus.observability.autoconfigure,QuotaMetricsService,@Component,updateQuotaRemaining/incrementQuotaConsumed/recordExternalApiCall/recordLlmCall/updateCircuitBreakerState/getQuotaSummary,Service métriques quotas/providers/LLM,,@Bean AutoConfig,true,No,,MISSING_TEST,PUBLIC_STABLE,
QuotaMetricsService.kt,nucleus.observability.autoconfigure,QuotaSummary,data class,operation/totalRemaining/activeAccounts,Résumé quota,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
QuotaMetricsService.kt,nucleus.observability.autoconfigure,ApiCallStatus,enum,SUCCESS/ERROR/CACHED/TIMEOUT/CIRCUIT_OPEN,Status appel API,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
QuotaMetricsService.kt,nucleus.observability.autoconfigure,CircuitBreakerState,enum,CLOSED/HALF_OPEN/OPEN,État circuit breaker,,,false,No,,MISSING_TEST,PUBLIC_STABLE,
NucleusWebFilter.kt,nucleus.observability.filter,NucleusWebFilter,WebFilter,filter(),Propage correlation ID/MDC/operation/timing,,@Bean AutoConfig,true,Yes (Common GlobalExceptionHandler uses correlationId),,MISSING_TEST,PUBLIC_STABLE,
